Name,Code.Class,Accession,MB258,MB264,MB342,MB396,MB413,MB414,MB442,176,183,77,401,766,381,741,383,375,360,D458Med,med1603,D425Med,MB236,MB297,MB331,MB331-P,MB337TUB,MB348TUB,MB531,MB556,MB559,MB303,MB561,MB562,MB564,MB565,MB357,MB566,MB569,MB369,MB570,MB378,MB571,MB572,MB392,MB395,MB573,MB374,MB575,MB577,MB578,MB579,MB551,MB552,MB554,MB555,MB355,MB376,MB382,MB377,MB408,MB359,MB479,MB308,MB353,MB300,MB314,MB401,MB452,MB457,MB441,MB404,MB327,MB583,MN585,MB586,MB589,MB324,MB592,MB592,MB594,MB595,HD-MB03
DKK2,Endogenous,NM_014421.2,16.00,16.00,7.00,37.00,5.00,18.00,20.00,7.00,7.00,3.00,9.00,14.00,7.00,5.00,2.00,7.00,8.00,1.00,4.00,3.00,7.00,10.00,3.00,7.00,6.00,8.00,9.00,3.00,2.00,4.00,4.00,2.00,2.00,1.00,1.00,3.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,53.00,3.00,14.00,2.00,28.00,4.00,10.00,16.00,4.00,2.00,2.00,21.00,4.00,3.00,20.00,3.00,3.00,2.00,7.00,7.00,26.00,13.00,20.00,9.00,2.00,31.00,2.00,20.00,5.00,5.00,10.00,15.00,5.00,4.00,3.00,2.00,1.00,4.00
EMX2,Endogenous,NM_004098.3,12.00,14.00,8.00,11.00,10.00,387.00,69.00,3.00,3.00,2.00,1.00,7.00,1.00,4.00,5.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,6.00,66.00,103.00,17.00,1.00,1.00,5.00,21.00,8.00,3.00,1.00,6.00,1.00,1.00,3.00,9.00,4.00,2.00,10.00,1.00,52.00,2.00,1.00,18.00,8.00,41.00,11.00,11.00,9.00,6.00,3.00,16.00,7.00,6.00,5.00,22.00,30.00,6.00,1.00,11.00,9.00,115.00,13.00,20.00,13.00,67.00,8.00,37.00,15.00,265.00,3.00,30.00,7.00,2.00,10.00,4.00,1.00,1.00
GAD1,Endogenous,NM_000817.2,27.00,9.00,11.00,79.00,28.00,65.00,7.00,6.00,5.00,13.00,3.00,68.00,4.00,1.00,15.00,7.00,13.00,7.00,12.00,8.00,3.00,1.00,32.00,94.00,13.00,23.00,26.00,5.00,1.00,25.00,19.00,1.00,1.00,1.00,2.00,4.00,1.00,1.00,40.00,10.00,21.00,16.00,3.00,20.00,1.00,3.00,1.00,17.00,151.00,8.00,3.00,12.00,28.00,7.00,14.00,12.00,8.00,3.00,11.00,5.00,16.00,6.00,14.00,18.00,189.00,9.00,21.00,47.00,29.00,344.00,18.00,14.00,77.00,13.00,17.00,3.00,3.00,14.00,6.00,1.00,9.00
TNC,Endogenous,NM_002160.3,70.00,2.00,1.00,74.00,49.00,25.00,18.00,45.00,1.00,1.00,8.00,116.00,21.00,7.00,1.00,9.00,2.00,1.00,1.00,1.00,4.00,1.00,25.00,59.00,25.00,6.00,53.00,2.00,1.00,1.00,7.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,33.00,1.00,4.00,1.00,2.00,1.00,16.00,3.00,15.00,5.00,15.00,12.00,4.00,10.00,7.00,7.00,13.00,4.00,11.00,7.00,2.00,20.00,16.00,39.00,5.00,20.00,11.00,39.00,13.00,21.00,17.00,18.00,12.00,165.00,5.00,1.00,19.00,8.00,1.00,17.00
WIF1,Endogenous,NM_007191.2,17.00,18.00,7.00,12.00,6.00,40.00,19.00,13.00,10.00,12.00,7.00,9.00,4.00,3.00,5.00,3.00,6.00,3.00,4.00,4.00,16.00,9.00,4.00,6.00,3.00,15.00,6.00,1.00,2.00,7.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,7.00,1.00,2.00,63.00,1.00,1.00,3.00,3.00,21.00,15.00,8.00,5.00,12.00,1.00,14.00,1.00,9.00,4.00,5.00,7.00,3.00,2.00,15.00,10.00,39.00,7.00,54.00,5.00,67.00,36.00,48.00,17.00,8.00,4.00,12.00,6.00,2.00,36.00,1.00,1.00,2.00
ATOH1,Endogenous,NM_005172.1,5.00,4.00,1.00,1.00,7.00,6.00,12.00,1.00,1.00,3.00,1.00,1.00,2.00,4.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,4.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,12.00,11.00,10.00,4.00,2.00,2.00,3.00,7.00,3.00,1.00,3.00,2.00,7.00,7.00,3.00,14.00,16.00,12.00,10.00,8.00,5.00,29.00,7.00,19.00,20.00,13.00,5.00,6.00,2.00,1.00,1.00,4.00,1.00,5.00
EYA1,Endogenous,NM_172059.2,76.00,9.00,1.00,8.00,20.00,131.00,230.00,25.00,2.00,1.00,5.00,93.00,9.00,11.00,1.00,22.00,5.00,47.00,1.00,23.00,2.00,3.00,25.00,52.00,66.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,153.00,2.00,2.00,5.00,22.00,15.00,32.00,9.00,10.00,3.00,3.00,22.00,3.00,2.00,8.00,8.00,19.00,7.00,7.00,6.00,13.00,69.00,11.00,24.00,9.00,45.00,11.00,28.00,18.00,15.00,15.00,49.00,3.00,5.00,3.00,2.00,4.00,8.00
HHIP,Endogenous,NM_022475.1,6.00,14.00,8.00,9.00,12.00,12.00,17.00,5.00,5.00,6.00,4.00,8.00,5.00,41.00,1.00,14.00,8.00,1.00,2.00,3.00,40.00,24.00,3.00,4.00,4.00,10.00,4.00,1.00,1.00,2.00,20.00,2.00,2.00,1.00,1.00,5.00,1.00,5.00,4.00,5.00,3.00,1.00,1.00,8.00,5.00,2.00,1.00,3.00,24.00,7.00,3.00,2.00,3.00,1.00,2.00,2.00,5.00,20.00,2.00,4.00,1.00,5.00,1.00,2.00,41.00,4.00,6.00,1.00,2.00,8.00,3.00,4.00,5.00,4.00,8.00,2.00,2.00,7.00,1.00,4.00,1.00
PDLIM3,Endogenous,NM_014476.4,14.00,35.00,13.00,31.00,18.00,126.00,22.00,2.00,1.00,5.00,2.00,8.00,9.00,22.00,17.00,2.00,6.00,33.00,2.00,20.00,4.00,6.00,11.00,17.00,1.00,16.00,10.00,6.00,4.00,16.00,15.00,6.00,9.00,12.00,7.00,4.00,15.00,1.00,64.00,5.00,19.00,34.00,6.00,89.00,4.00,6.00,4.00,6.00,34.00,15.00,12.00,10.00,11.00,5.00,20.00,10.00,9.00,8.00,11.00,13.00,9.00,10.00,11.00,6.00,47.00,7.00,17.00,8.00,24.00,55.00,15.00,9.00,56.00,7.00,14.00,6.00,16.00,44.00,6.00,1.00,19.00
SFRP1,Endogenous,NM_003012.3,103.00,223.00,136.00,102.00,311.00,129.00,24.00,11.00,37.00,12.00,11.00,7.00,4.00,17.00,67.00,14.00,53.00,1.00,20.00,3.00,44.00,10.00,11.00,9.00,6.00,9.00,8.00,22.00,56.00,23.00,12.00,7.00,10.00,1.00,1.00,5.00,3.00,15.00,9.00,11.00,32.00,5.00,8.00,105.00,57.00,9.00,13.00,29.00,163.00,57.00,62.00,8.00,11.00,1.00,110.00,18.00,17.00,37.00,33.00,50.00,62.00,12.00,62.00,141.00,561.00,51.00,38.00,44.00,69.00,57.00,117.00,80.00,11.00,11.00,33.00,35.00,8.00,22.00,5.00,1.00,1.00
