"","WNT","SHH","Grp3","Grp4"
"MB258",0.0018,0.0079,0.67,0.32
"MB264",0.0021,0.011,0.047,0.94
"MB342",0.001,0.011,0.0023,0.99
"MB396",0.00066,0.0016,1,0.001
"MB413",0.00086,0.0025,0.09,0.91
"MB414",0.0087,0.023,0.96,0.0077
"MB442",0.014,0.08,0.88,0.025
"X176",0.00055,0.00097,1,0.00028
"X183",0.0015,0.0024,0.019,0.98
"X77",0.00092,0.0015,0.0049,0.99
"X401",0.0017,0.004,0.011,0.98
"X766",0.0046,0.0062,0.99,0.0022
"X381",0.00092,0.002,1,7e-04
"X741",0.0038,0.027,0.96,0.007
"X383",0.00097,0.0035,0.0018,0.99
"X375",0.00021,0.0022,1,0.001
"X360",0.00076,0.0036,0.0019,0.99
"D458Med",0.021,0.19,0.7,0.086
"med1603",0.016,0.1,0.85,0.031
"D425Med",0.018,0.079,0.88,0.025
"MB236",0.0052,0.026,0.33,0.64
"MB297",0.0059,0.041,0.9,0.05
"MB331",0.0054,0.013,0.98,0.0044
"MB331.P",0.0057,0.011,0.98,0.0034
"MB337TUB",0.0063,0.013,0.98,0.0048
"MB348TUB",0.019,0.011,0.93,0.044
"MB531",0.0077,0.0074,0.98,0.0031
"MB556",4e-04,0.0015,0.001,1
"MB559",0.00047,0.005,0.0011,0.99
"MB303",0.012,0.043,0.87,0.071
"MB561",0.0051,0.0066,0.96,0.03
"MB562",0.0054,0.011,0.15,0.83
"MB564",0.0014,0.0047,0.98,0.013
"MB565",0.0068,0.018,0.97,0.0059
"MB357",0.0073,0.014,0.97,0.0046
"MB566",0.00065,0.002,1,0.00084
"MB569",0.0094,0.02,0.46,0.51
"MB369",0.008,0.016,0.16,0.82
"MB570",0.0021,0.0031,0.99,0.0011
"MB378",0.0021,0.0022,0.023,0.97
"MB571",0.001,0.0015,0.98,0.019
"MB572",0.0036,0.0034,0.99,0.0013
"MB392",0.0012,0.0016,0.0063,0.99
"MB395",0.094,0.11,0.71,0.088
"MB573",0.00057,0.0048,0.0012,0.99
"MB374",0.00064,0.0012,1,0.00055
"MB575",0.0038,0.0071,0.91,0.081
"MB577",0.00077,0.0012,0.0034,0.99
"MB578",0.0027,0.0033,0.002,0.99
"MB579",0.00052,0.0024,0.0043,0.99
"MB551",0.00035,0.0014,0.00035,1
"MB552",0.0032,0.0037,0.35,0.64
"MB554",0.0012,0.00078,0.0066,0.99
"MB555",1.4e-06,1.7e-06,2.1e-06,1
"MB355",0.001,0.012,0.0031,0.98
"MB376",0.00092,0.00069,0.0035,0.99
"MB382",0.001,0.0016,0.0094,0.99
"MB377",0.0017,0.0083,0.95,0.043
"MB408",0.0015,0.0043,0.0015,0.99
"MB359",0.001,0.001,0.0017,1
"MB479",6e-04,0.0018,7e-04,1
"MB308",0.0019,0.0014,0.053,0.94
"MB353",0.00092,0.0017,0.0018,1
"MB300",0.00097,0.0026,0.046,0.95
"MB314",0.06,0.044,0.85,0.045
"MB401",4e-04,0.0014,0.00037,1
"MB452",0.0037,0.0038,0.88,0.11
"MB457",0.00063,0.00094,0.00037,1
"MB441",0.015,0.0082,0.081,0.9
"MB404",0.0056,0.0068,0.0023,0.99
"MB327",0.0026,0.0094,0.0037,0.98
"MB583",0.0019,0.0081,0.0096,0.98
"MN585",0.073,0.079,0.79,0.058
"MB586",0.00092,0.0012,1,0.001
"MB589",0.0015,0.0014,0.99,0.0086
"MB324",0.00076,0.002,0.0026,0.99
"MB592",0.027,0.073,0.87,0.027
"MB592.1",0.17,0.058,0.49,0.28
"MB594",0.001,0.001,0.024,0.97
"MB595",0.00037,0.00081,2e-04,1
"HD.MB03",0.022,0.04,0.92,0.022
